name,hex
Red,#ff0000
Blue,#0000ff
Gray,#808080
Grey,#808080
DarkBlue,#0000a0
Black,#000000
Orange,#ffa500
Purple,#8e35ef
Brown,#a52a2a
Maroon,#810541
Green,#00ff00
Magenta,#ff00ff
Olive,#808000
Night,#0c090a
Gunmetal,#2c3539
Midnight,#2b1b17
Charcoal,#34282c
Dark Slate Grey,#25383c
Oil,#3b3131
Black Cat,#413839
Iridium,#3d3c3a
Black Eel,#463e3f
Black Cow,#4c4646
Gray Wolf,#504a4b
Vampire Gray,#565051
Gray Dolphin,#5c5858
Carbon Gray,#625d5d
Ash Gray,#666362
Cloudy Gray,#6d6968
Smokey Gray,#726e6d
Gray,#736f6e
Granite,#837e7c
Battleship Gray,#848482
Gray Cloud,#b6b6b4
Gray Goose,#d1d0ce
Metallic Silver,#bcc6cc
Blue Gray,#98afc7
Light Slate Gray,#6d7b8d
Slate Gray,#657383
Jet Gray,#616d7e
Mist Blue,#646d7e
Marble Blue,#566d7e
Slate Blue,#737ca1
Steel Blue,#4863a0
Blue Jay,#2b547e
Dark Slate Blue,#2b3856
Midnight Blue,#151b54
Navy Blue,#000080
Blue Whale,#342d7e
Lapis Blue,#15317e
Denim Dark Blue,#151b8d
Earth Blue,#0000a0
Cobalt Blue,#0020c2
Blueberry Blue,#0041c2
Sapphire Blue,#2554c7
Blue Eyes,#1569c7
Royal Blue,#2b60de
Blue Orchid,#1f45fc
Blue Lotus,#6960ec
Light Slate Blue,#736aff
Windows Blue,#357ec7
Glacial Blue Ice,#368bc1
Silk Blue,#488ac7
Blue Ivy,#3090c7
Blue Koi,#659ec7
Columbia Blue,#87afc7
Baby Blue,#95b9c7
Light Steel Blue,#728fce
Ocean Blue,#2b65ec
Blue Ribbon,#306eff
Blue Dress,#157dec
Dodger Blue,#1589ff
Cornflower Blue,#6495ed
Sky Blue,#6698ff
Butterfly Blue,#38acec
Iceberg,#56a5ec
Crystal Blue,#5cb3ff
Deep Sky Blue,#3bb9ff
Denim Blue,#79baec
Light Sky Blue,#82cafa
Day Sky Blue,#82caff
Jeans Blue,#a0cfec
Blue Angel,#b7ceec
Pastel Blue,#b4cfec
Sea Blue,#c2dfff
Powder Blue,#c6deff
Coral Blue,#afdcec
Light Blue,#addfff
